id,Airport ID,Name,City,Country,IATA/FAA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,alpha-2_x,alpha-3,name,alpha-2_y,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code,deg
0,1,Goroka,Goroka,Papua New Guinea,GKA,AYGA,-6.081689,145.391881,5282,10.0,U,PG,PNG,Papua New Guinea,PG,598.0,ISO 3166-2:PG,Oceania,Melanesia,,9.0,54.0,,1
1,2,Madang,Madang,Papua New Guinea,MAG,AYMD,-5.207083,145.7887,20,10.0,U,PG,PNG,Papua New Guinea,PG,598.0,ISO 3166-2:PG,Oceania,Melanesia,,9.0,54.0,,5
2,3,Mount Hagen,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.826789,144.295861,5388,10.0,U,PG,PNG,Papua New Guinea,PG,598.0,ISO 3166-2:PG,Oceania,Melanesia,,9.0,54.0,,6
3,4,Nadzab,Nadzab,Papua New Guinea,LAE,AYNZ,-6.569828,146.72624199999998,239,10.0,U,PG,PNG,Papua New Guinea,PG,598.0,ISO 3166-2:PG,Oceania,Melanesia,,9.0,54.0,,5
4,5,Port Moresby Jacksons Intl,Port Moresby,Papua New Guinea,POM,AYPY,-9.443383,147.22005,146,10.0,U,PG,PNG,Papua New Guinea,PG,598.0,ISO 3166-2:PG,Oceania,Melanesia,,9.0,54.0,,33
5,6,Wewak Intl,Wewak,Papua New Guinea,WWK,AYWK,-3.583828,143.669186,19,10.0,U,PG,PNG,Papua New Guinea,PG,598.0,ISO 3166-2:PG,Oceania,Melanesia,,9.0,54.0,,4
6,7,Narsarsuaq,Narssarssuaq,Greenland,UAK,BGBW,61.160517000000006,-45.425978,112,-3.0,E,GL,GRL,Greenland,GL,304.0,ISO 3166-2:GL,Americas,Northern America,,19.0,21.0,,6
7,8,Nuuk,Godthaab,Greenland,GOH,BGGH,64.190922,-51.678064,283,-3.0,E,GL,GRL,Greenland,GL,304.0,ISO 3166-2:GL,Americas,Northern America,,19.0,21.0,,9
8,9,Sondre Stromfjord,Sondrestrom,Greenland,SFJ,BGSF,67.01696899999999,-50.689325,165,-3.0,E,GL,GRL,Greenland,GL,304.0,ISO 3166-2:GL,Americas,Northern America,,19.0,21.0,,8
9,11,Akureyri,Akureyri,Iceland,AEY,BIAR,65.659994,-18.072703,6,0.0,N,IS,ISL,Iceland,IS,352.0,ISO 3166-2:IS,Europe,Northern Europe,,150.0,154.0,,1
